Main,Department,Sub Department
अनुसूचित जाचत कल्याण चिभाग----उजाा चिभाग,अनुसूचित जाचत कल्याण चिभाग,उजाा चिभाग
अनुसूचित जाचत कल्याण चिभाग----लोक स्िास्थय याांचिकी चिभाग,अनुसूचित जाचत कल्याण चिभाग,लोक स्िास्थय याांचिकी चिभाग
अनुसूचित जाचत कल्याण चिभाग----खाद्य आपूर्ता चिभाग,अनुसूचित जाचत कल्याण चिभाग,खाद्य आपूर्ता चिभाग
अनुसूचित जाचत कल्याण चिभाग----पुचलस,अनुसूचित जाचत कल्याण चिभाग,पुचलस
अनुसूचित जाचत कल्याण चिभाग----राजस्ि चिभाग,अनुसूचित जाचत कल्याण चिभाग,राजस्ि चिभाग
अनुसूचित जाचत कल्याण चिभाग----लोक चिक्षण,अनुसूचित जाचत कल्याण चिभाग,लोक चिक्षण
अनुसूचित जाचत कल्याण चिभाग----नगर पाचलका/नगर पररषद/अन्य नगर चनकाय,अनुसूचित जाचत कल्याण चिभाग,नगर पाचलका/नगर पररषद/अन्य नगर चनकाय
अनुसूचित जाचत कल्याण चिभाग----लोक स्िास््य,अनुसूचित जाचत कल्याण चिभाग,लोक स्िास््य
अनुसूचित जाचत कल्याण चिभाग----प्राकृ चतक प्रकोप राहत राचि,अनुसूचित जाचत कल्याण चिभाग,प्राकृ चतक प्रकोप राहत राचि
अनुसूचित जाचत कल्याण चिभाग----पांिायती राज,अनुसूचित जाचत कल्याण चिभाग,पांिायती राज
अनुसूचित जाचत कल्याण चिभाग----स्िच्छ भारत चििन (पांिायत एिां ग्रािीण चिकास चिभाग),अनुसूचित जाचत कल्याण चिभाग,स्िच्छ भारत चििन (पांिायत एिां ग्रािीण चिकास चिभाग)
अनुसूचित जाचत कल्याण चिभाग----सािाचजक न्याय एिां चनिक्त कल्याण चिभाग,अनुसूचित जाचत कल्याण चिभाग,सािाचजक न्याय एिां चनिक्त कल्याण चिभाग
अनुसूचित जाचत कल्याण चिभाग----सीिाांकन,अनुसूचित जाचत कल्याण चिभाग,सीिाांकन
अनुसूचित जाचत कल्याण चिभाग----राज्य चिक्षा कें द्र,अनुसूचित जाचत कल्याण चिभाग,राज्य चिक्षा कें द्र
अनुसूचित जाचत कल्याण चिभाग----सहकाररता चिभाग,अनुसूचित जाचत कल्याण चिभाग,सहकाररता चिभाग
अनुसूचित जाचत कल्याण चिभाग----साफ सफाई / स्िास्थ सेिाएँ - नगर चनगि,अनुसूचित जाचत कल्याण चिभाग,साफ सफाई / स्िास्थ सेिाएँ - नगर चनगि
अनुसूचित जाचत कल्याण चिभाग----सािान्य प्रिासन चिभाग,अनुसूचित जाचत कल्याण चिभाग,सािान्य प्रिासन चिभाग
अनुसूचित जाचत कल्याण चिभाग----लीड बैंक - सांस्थागत चित्त,अनुसूचित जाचत कल्याण चिभाग,लीड बैंक - सांस्थागत चित्त
अनुसूचित जाचत कल्याण चिभाग----सांस्थागत चित्त,अनुसूचित जाचत कल्याण चिभाग,सांस्थागत चित्त
अनुसूचित जाचत कल्याण चिभाग----जल सांसाधन चिभाग,अनुसूचित जाचत कल्याण चिभाग,जल सांसाधन चिभाग
अनुसूचित जाचत कल्याण चिभाग----िनरेगा,अनुसूचित जाचत कल्याण चिभाग,िनरेगा
अनुसूचित जाचत कल्याण चिभाग----िचहला एिां बाल चिकास चिभाग,अनुसूचित जाचत कल्याण चिभाग,िचहला एिां बाल चिकास चिभाग
अनुसूचित जाचत कल्याण चिभाग----इांददरा आिास योजना,अनुसूचित जाचत कल्याण चिभाग,इांददरा आिास योजना
अनुसूचित जाचत कल्याण चिभाग----िन चिभाग,अनुसूचित जाचत कल्याण चिभाग,िन चिभाग
अनुसूचित जाचत कल्याण चिभाग----प्रकाि व्यिस्था - नगर चनगि,अनुसूचित जाचत कल्याण चिभाग,प्रकाि व्यिस्था - नगर चनगि
